Name,Price,Monthy,MontlyAdj
Clay County,"156,579 ",879 ,591 
Navarro County,"156,243 ",877 ,586 
Moore County,"155,568 ",873 ,604 
Jackson County,"155,298 ",872 ,588 
Hill County,"154,624 ",868 ,599 
Sabine County,"154,219 ",865 ,533 
Brown County,"153,814 ",863 ,585 
Val Verde County,"153,679 ",862 ,563 
Atascosa County,"153,471 ",861 ,569 
Pecos County,"152,600 ",856 ,566 
Karnes County,"150,981 ",847 ,585 
Callahan County,"150,830 ",846 ,518 
"Texas County,  Missouri","149,991 ",842 ,599 
Lipscomb County,"148,552 ",834 ,570 
Ochiltree County,"147,338 ",827 ,557 
Tyler County,"146,933 ",825 ,486 
Maverick County,"146,798 ",824 ,539 
Irion County,"144,321 ",810 ,629 
Jasper County,"143,830 ",807 ,562 
Comanche County,"143,560 ",806 ,592 
Parmer County,"143,560 ",806 ,587 
Crane County,"143,155 ",803 ,475 
Oldham County,"141,536 ",794 ,554 
Titus County,"141,401 ",794 ,533 
Cameron County,"141,243 ",793 ,619 
Hidalgo County,"141,038 ",791 ,568 
Reagan County,"139,647 ",784 ,525 
Hansford County,"138,838 ",779 ,594 
Ward County,"138,838 ",779 ,527 
Potter County,"138,699 ",778 ,571 
Dallam County,"137,488 ",772 ,507 
Uvalde County,"136,679 ",767 ,550 
Jack County,"135,869 ",762 ,508 
Childress County,"135,734 ",762 ,464 
Frio County,"135,599 ",761 ,459 
Red River County,"135,464 ",760 ,416 
Kinney County,"133,306 ",748 ,438 
Hockley County,"133,036 ",747 ,496 
Marion County,"132,496 ",744 ,524 
Kleberg County,"132,226 ",742 ,526 
Reeves County,"132,091 ",741 ,489 
Morris County,"131,821 ",740 ,492 
Cass County,"130,742 ",734 ,487 
Carson County,"130,367 ",732 ,566 
Sherman County,"128,583 ",722 ,501 
Scurry County,"128,044 ",719 ,468 
Terrell County,"127,909 ",718 ,435 
Lynn County,"127,234 ",714 ,480 
Bailey County,"125,750 ",706 ,402 
Bee County,"125,750 ",706 ,474 
Trinity County,"124,805 ",700 ,467 
Deaf Smith County,"123,726 ",694 ,490 
Kent County,"123,321 ",692 ,346 
McMullen County,"120,488 ",676 ,594 
Schleicher County,"120,488 ",676 ,432 
Jim Hogg County,"118,734 ",666 ,411 
Winkler County,"117,924 ",662 ,442 
Shelby County,"117,654 ",660 ,437 
McCulloch County,"116,575 ",654 ,514 
Castro County,"116,440 ",653 ,445 
Hutchinson County,"116,305 ",653 ,436 
Upton County,"116,305 ",653 ,421 
Concho County,"115,496 ",648 ,575 
Wheeler County,"115,361 ",647 ,446 
Runnels County,"114,956 ",645 ,455 
Terry County,"114,956 ",645 ,419 
Refugio County,"113,876 ",639 ,457 
Coleman County,"112,527 ",631 ,444 
Hale County,"112,257 ",630 ,451 
La Salle County,"111,987 ",628 ,449 
Dawson County,"111,718 ",627 ,428 
Stephens County,"111,718 ",627 ,434 
Zapata County,"111,718 ",627 ,474 
Eastland County,"111,583 ",626 ,441 
Menard County,"111,448 ",625 ,466 
Coke County,"111,178 ",624 ,396 
Gray County,"110,773 ",622 ,426 
Starr County,"110,233 ",619 ,411 
Newton County,"110,099 ",618 ,431 
Falls County,"108,479 ",609 ,411 
Jones County,"106,484 ",598 ,419 
Garza County,"106,456 ",597 ,418 
Sterling County,"106,456 ",597 ,401 
Nolan County,"105,646 ",593 ,429 
Swisher County,"105,646 ",593 ,420 
Jim Wells County,"105,241 ",591 ,411 
Wilbarger County,"102,813 ",577 ,391 
Floyd County,"102,408 ",575 ,375 
Duval County,"101,463 ",569 ,330 
Baylor County,"99,709 ",560 ,369 
San Augustine County,"97,416 ",547 ,403 
Briscoe County,"97,281 ",546 ,387 
Presidio County,"97,281 ",546 ,412 
Edwards County,"94,852 ",532 ,383 
Brooks County,"94,582 ",531 ,343 
Mitchell County,"92,828 ",521 ,363 
Donley County,"90,534 ",508 ,375 
Fisher County,"90,534 ",508 ,341 
Culberson County,"89,995 ",505 ,340 
Lamb County,"89,320 ",501 ,363 
Collingsworth County,"88,106 ",494 ,307 
Zavala County,"85,407 ",479 ,317 
Throckmorton County,"84,733 ",476 ,313 
Hall County,"84,328 ",473 ,320 
Willacy County,"83,653 ",469 ,332 
Haskell County,"80,550 ",452 ,323 
Dickens County,"80,145 ",450 ,284 
Motley County,"79,606 ",447 ,320 
Crosby County,"79,033 ",444 ,315 
Dimmit County,"77,852 ",437 ,327 
Hardeman County,"77,852 ",437 ,284 
Stonewall County,"74,613 ",419 ,284 
Hudspeth County,"71,240 ",400 ,291 
Foard County,"71,105 ",399 ,259 
Cottle County,"70,161 ",394 ,235 
Knox County,"63,415 ",356 ,231 
Cochran County,"60,176 ",338 ,203 
King County,"30,493 ",171 ,122 
